Element Name,IWA Title,DWA Title
Performing General Physical Activities,Clean medical equipment or facilities.,Clean medical equipment.
Performing General Physical Activities,Clean medical equipment or facilities.,Clean medical equipment or facilities.
Performing General Physical Activities,"Move materials, equipment, or supplies.",Transport biological or other medical materials.
Performing General Physical Activities,"Move materials, equipment, or supplies.","Move equipment, supplies or food to required locations."
Performing General Physical Activities,"Move materials, equipment, or supplies.","Transport animals, crops, or equipment."
Performing General Physical Activities,"Move materials, equipment, or supplies.","Move materials, equipment, or supplies."
Performing General Physical Activities,"Move materials, equipment, or supplies.",Deliver items.
Performing General Physical Activities,"Move materials, equipment, or supplies.",Move large objects using heavy equipment.
Performing General Physical Activities,"Move materials, equipment, or supplies.",Handle caskets.
Performing General Physical Activities,"Move materials, equipment, or supplies.",Move furniture.
Performing General Physical Activities,"Move materials, equipment, or supplies.",Handle luggage or other possessions for patrons.
Performing General Physical Activities,"Move materials, equipment, or supplies.",Move construction or extraction materials to locations where they are needed.
Performing General Physical Activities,"Move materials, equipment, or supplies.","Move products, materials, or equipment between work areas."
Performing General Physical Activities,Maintain safety or security.,Use weapons or physical force to maintain security.
Performing General Physical Activities,Maintain safety or security.,Block physical access to restricted areas.
Performing General Physical Activities,Maintain safety or security.,"Provide security escorts for officials, jury members, or other individuals."
Performing General Physical Activities,Maintain safety or security.,Detain suspects or witnesses.
Performing General Physical Activities,Maintain safety or security.,Maintain public order or security.
Performing General Physical Activities,Maintain safety or security.,Guard facilities.
Performing General Physical Activities,Maintain safety or security.,Maintain security.
Performing General Physical Activities,Maintain safety or security.,Apprehend criminal suspects.
Performing General Physical Activities,Maintain safety or security.,Confiscate prohibited or dangerous items.
Performing General Physical Activities,Maintain safety or security.,Enforce rules or regulations.
Performing General Physical Activities,Maintain safety or security.,Search individuals for illegal or dangerous items.
Performing General Physical Activities,Maintain safety or security.,Prevent unauthorized individuals from entering restricted areas.
Performing General Physical Activities,Escort others.,Guide patrons on tours.
Performing General Physical Activities,Escort others.,Provide escort or transportation.
Performing General Physical Activities,Escort others.,Usher patrons to seats or exits.
Performing General Physical Activities,Escort others.,Accompany patients or clients on outings to provide assistance.
Performing General Physical Activities,Escort others.,"Escort prisoners to courtrooms, prisons, or other facilities."
Performing General Physical Activities,Escort others.,Accompany individuals or groups to activities.
Performing General Physical Activities,Transport patients or clients.,Transport clients to appointments.
Performing General Physical Activities,Transport patients or clients.,Move patients to or from treatment areas.
Performing General Physical Activities,Climb equipment or structures.,Climb ladders or vehicles to perform duties.
Performing General Physical Activities,Climb equipment or structures.,Climb equipment or structures to access work areas.
Performing General Physical Activities,Provide food or beverage services.,Arrange tables or dining areas.
Performing General Physical Activities,Provide food or beverage services.,Serve food or beverages.
Performing General Physical Activities,Provide food or beverage services.,Collect dirty dishes or other tableware.
Performing General Physical Activities,"Perform athletic activities for fitness, competition, or artistic purposes.",Participate in athletic events.
Performing General Physical Activities,"Perform athletic activities for fitness, competition, or artistic purposes.",Participate in physical training to maintain fitness.
Performing General Physical Activities,"Perform athletic activities for fitness, competition, or artistic purposes.",Practice athletic or artistic skills.
Performing General Physical Activities,Perform agricultural activities.,Harvest agricultural products.
Performing General Physical Activities,Perform agricultural activities.,"Perform manual agricultural, aquacultural, or horticultural tasks."
Performing General Physical Activities,Perform agricultural activities.,"Cultivate lawns, turf, or gardens."
Performing General Physical Activities,Perform agricultural activities.,Prepare land for agricultural use.
Performing General Physical Activities,Perform agricultural activities.,Plant greenery to improve landscape appearance.
Performing General Physical Activities,Perform agricultural activities.,"Plant crops, trees, or other plants."
Performing General Physical Activities,Perform agricultural activities.,Cultivate land.
Performing General Physical Activities,Perform agricultural activities.,"Irrigate lawns, trees, or plants."
Handling and Moving Objects,Build structures.,Install carpet or flooring.
Handling and Moving Objects,Build structures.,Install insulation in equipment or structures.
Handling and Moving Objects,Build structures.,Install masonry materials.
Handling and Moving Objects,Build structures.,Assemble structural components.
Handling and Moving Objects,Build structures.,Install fencing or other barriers.
Handling and Moving Objects,Build structures.,Install metal structural components.
Handling and Moving Objects,Build structures.,Install structural foundations.
Handling and Moving Objects,Build structures.,Assemble temporary equipment or structures.
Handling and Moving Objects,Build structures.,Build agricultural structures.
Handling and Moving Objects,Build structures.,Install safety or support equipment.
Handling and Moving Objects,Build structures.,Install trim or paneling.
Handling and Moving Objects,Build structures.,Assemble metal structures.
Handling and Moving Objects,Build structures.,Install building fixtures.
Handling and Moving Objects,Build structures.,Install doors or windows.
Handling and Moving Objects,Build structures.,Install roofing materials.
Handling and Moving Objects,Build structures.,Construct exhibits or parts of exhibits.
Handling and Moving Objects,Build structures.,Install wooden structural components.
Handling and Moving Objects,Build structures.,Install equipment to protect or support trees.
Handling and Moving Objects,Build structures.,Install hardware or other interior fixtures.
Handling and Moving Objects,Build structures.,"Install green structural components, equipment or systems."
Handling and Moving Objects,Collect samples of products or materials.,Collect samples for analysis or testing.
Handling and Moving Objects,Collect samples of products or materials.,Collect samples of raw materials or finished products.
Handling and Moving Objects,Collect samples of products or materials.,Collect samples of materials or products for testing.
Handling and Moving Objects,Prepare foods or beverages.,Cut cooked or raw foods.
Handling and Moving Objects,Prepare foods or beverages.,Prepare foods for cooking or serving.
Handling and Moving Objects,Prepare foods or beverages.,Prepare meat products for sale or consumption.
Handling and Moving Objects,Prepare foods or beverages.,Add garnishes to food.
Handling and Moving Objects,Prepare foods or beverages.,Assist chefs or caterers with food or drink preparation.
Handling and Moving Objects,Prepare foods or beverages.,Prepare hot or cold beverages.
Handling and Moving Objects,Prepare foods or beverages.,Cook foods.
Handling and Moving Objects,Prepare foods or beverages.,Arrange food for serving.
Handling and Moving Objects,Prepare foods or beverages.,Prepare breads or doughs.
Handling and Moving Objects,Prepare foods or beverages.,Cut meat products.
Handling and Moving Objects,Prepare foods or beverages.,Prepare foods or meals.
Handling and Moving Objects,Assemble equipment or components.,"Install parts, assemblies, or attachments in transportation or material handling equipment."
Handling and Moving Objects,Assemble equipment or components.,Assemble equipment or components.
Handling and Moving Objects,Assemble equipment or components.,Reassemble equipment after repair.
Handling and Moving Objects,Assemble equipment or components.,Assemble precision electronics or optical equipment.
Handling and Moving Objects,Assemble equipment or components.,"Assemble machine tools, parts, or fixtures."
Handling and Moving Objects,Assemble equipment or components.,Assemble electromechanical or hydraulic systems.
Handling and Moving Objects,Assemble equipment or components.,Install vehicle parts or accessories.
Handling and Moving Objects,Assemble equipment or components.,Install machine or equipment replacement parts.
Handling and Moving Objects,Assemble equipment or components.,Bolt objects into place.
Handling and Moving Objects,Assemble equipment or components.,Assemble products or production equipment.
Handling and Moving Objects,Assemble equipment or components.,Assemble electrical or electronic equipment.
Handling and Moving Objects,Assemble equipment or components.,Assemble mechanical components or machine parts.
Handling and Moving Objects,Assemble equipment or components.,Install gauges or controls.
Handling and Moving Objects,Assemble equipment or components.,"Assemble electrical components, subsystems, or systems."
Handling and Moving Objects,Sew garments or materials.,Sew clothing or other articles.
Handling and Moving Objects,Sew garments or materials.,Sew materials.
Handling and Moving Objects,Sew garments or materials.,Repair textiles or apparel.
Handling and Moving Objects,Sew garments or materials.,Operate sewing equipment.
Handling and Moving Objects,Position workpieces or materials on equipment.,Feed materials or products into or through equipment.
Handling and Moving Objects,Position workpieces or materials on equipment.,Mount attachments or tools onto production equipment.
Handling and Moving Objects,Position workpieces or materials on equipment.,Mount materials or workpieces onto production equipment.
Handling and Moving Objects,Position workpieces or materials on equipment.,Maneuver workpieces in equipment during production.
Handling and Moving Objects,Position workpieces or materials on equipment.,Adjust fabrics or other materials during garment production.
Handling and Moving Objects,Position workpieces or materials on equipment.,Position raw materials on processing or production equipment.
Handling and Moving Objects,Shape materials to create products.,Reshape metal workpieces to established specifications.
Handling and Moving Objects,Shape materials to create products.,Shape clay or dough to create products.
Handling and Moving Objects,Shape materials to create products.,Shape glass or similar materials.
Handling and Moving Objects,Shape materials to create products.,Reshape small metal components for precision assembly.
Handling and Moving Objects,Shape materials to create products.,Shape metal workpieces with hammers or other small hand tools.
Handling and Moving Objects,Shape materials to create products.,Shape surfaces or edges of wood workpieces.
Handling and Moving Objects,Arrange displays or decorations.,"Arrange artwork, products, or props."
Handling and Moving Objects,Arrange displays or decorations.,Set up merchandise displays.
Handling and Moving Objects,Arrange displays or decorations.,"Prepare materials for preservation, storage, or display."
Handling and Moving Objects,Arrange displays or decorations.,Decorate indoor or outdoor spaces.
Handling and Moving Objects,Arrange displays or decorations.,Arrange items for use or display.
Handling and Moving Objects,Adjust equipment to ensure adequate performance.,Adjust tuning or functioning of musical instruments.
Handling and Moving Objects,Adjust equipment to ensure adequate performance.,Adjust equipment controls to regulate gas flow.
Handling and Moving Objects,Adjust equipment to ensure adequate performance.,Adjust equipment controls to regulate flow of production materials or products.
Handling and Moving Objects,Adjust equipment to ensure adequate performance.,Calibrate scientific or technical equipment.
Handling and Moving Objects,Adjust equipment to ensure adequate performance.,Adjust equipment to ensure optimal performance.
Handling and Moving Objects,Adjust equipment to ensure adequate performance.,Calibrate equipment to specifications.
Handling and Moving Objects,Adjust equipment to ensure adequate performance.,Adjust temperature controls of ovens or other heating equipment.
Handling and Moving Objects,Adjust equipment to ensure adequate performance.,Set equipment controls to meet cutting specifications.
Handling and Moving Objects,Adjust equipment to ensure adequate performance.,Adjust settings or positions of medical equipment.
Handling and Moving Objects,Adjust equipment to ensure adequate performance.,Adjust office equipment to ensure proper operation.
Handling and Moving Objects,Adjust equipment to ensure adequate performance.,Adjust the tension of nuts or bolts.
Handling and Moving Objects,Adjust equipment to ensure adequate performance.,Adjust equipment controls to regulate coolant flow.
Handling and Moving Objects,Adjust equipment to ensure adequate performance.,"Adjust equipment controls to regulate flow of water, cleaning solutions, or other liquids."
Handling and Moving Objects,Adjust equipment to ensure adequate performance.,Adjust flow of electricity to tools or production equipment.
Handling and Moving Objects,Adjust equipment to ensure adequate performance.,Adjust vehicle components according to specifications.
Handling and Moving Objects,Adjust equipment to ensure adequate performance.,Control power supply connections.
Handling and Moving Objects,Train animals.,Train animals.
Handling and Moving Objects,Prepare medical equipment or work areas for use.,Prepare medical supplies or equipment for use.
Handling and Moving Objects,Prepare medical equipment or work areas for use.,Prepare medical instruments or equipment for use.
Handling and Moving Objects,Prepare medical equipment or work areas for use.,Prepare patient treatment areas for use.
Handling and Moving Objects,Cut materials.,Cut openings in existing structures.
Handling and Moving Objects,Cut materials.,Trim excess material from workpieces.
Handling and Moving Objects,Cut materials.,Cut materials according to specifications or needs.
Handling and Moving Objects,Cut materials.,Cut industrial materials in preparation for fabrication or processing.
Handling and Moving Objects,Cut materials.,"Cut tile, stone, or other masonry materials."
Handling and Moving Objects,Cut materials.,Cut metal components for installation.
Handling and Moving Objects,Cut materials.,Cut wood components for installation.
Handling and Moving Objects,Cut materials.,Cut fabrics.
Handling and Moving Objects,Cut materials.,Trim excess material from installations.
Handling and Moving Objects,Cut materials.,Cut glass.
Handling and Moving Objects,Cut materials.,"Cut carpet, vinyl or other flexible materials."
Handling and Moving Objects,Prepare industrial materials for processing or use.,Prepare explosives for detonation.
Handling and Moving Objects,Prepare industrial materials for processing or use.,Immerse objects or workpieces in cleaning or coating solutions.
Handling and Moving Objects,Prepare industrial materials for processing or use.,Prepare excavation or extraction sites for commissioning or decommissioning.
Handling and Moving Objects,Prepare industrial materials for processing or use.,Prepare hazardous waste for processing or disposal.
Handling and Moving Objects,Prepare industrial materials for processing or use.,Heat material or workpieces to prepare for or complete production.
Handling and Moving Objects,Prepare industrial materials for processing or use.,"Melt metal, plastic, or other materials to prepare for production."
Handling and Moving Objects,Prepare industrial materials for processing or use.,Prepare fabrics or materials for processing or production.
Handling and Moving Objects,Prepare industrial materials for processing or use.,"Prepare biological feedstock for physical, chemical, or biological processing."
Handling and Moving Objects,Prepare industrial materials for processing or use.,Prepare materials for processing.
Handling and Moving Objects,Prepare industrial materials for processing or use.,Skim impurities from molten metal.
Handling and Moving Objects,Prepare industrial materials for processing or use.,Ignite fuel to activate heating equipment.
Handling and Moving Objects,Cut trees or other vegetation.,Cut trees or logs.
Handling and Moving Objects,Cut trees or other vegetation.,Trim trees or other vegetation.
Handling and Moving Objects,Smooth surfaces of objects or equipment.,Grind parts to required dimensions.
Handling and Moving Objects,Smooth surfaces of objects or equipment.,"Remove dents from equipment, materials, tools or structures."
Handling and Moving Objects,Smooth surfaces of objects or equipment.,Smooth surfaces of objects or equipment.
Handling and Moving Objects,Smooth surfaces of objects or equipment.,"Polish materials, workpieces, or finished products."
Handling and Moving Objects,Smooth surfaces of objects or equipment.,Smooth metal surfaces or edges.
Handling and Moving Objects,Smooth surfaces of objects or equipment.,Smooth surfaces with abrasive materials or tools.
Handling and Moving Objects,Install energy or heating equipment.,"Install energy-efficient heating, ventilation, or air conditioning (HVAC) equipment."
Handling and Moving Objects,Install energy or heating equipment.,Install solar energy systems.
Handling and Moving Objects,Install energy or heating equipment.,"Install heating, ventilation, or air conditioning (HVAC) equipment."
Handling and Moving Objects,Fabricate medical devices.,Cast molds of patient anatomies to create medical or dental devices.
Handling and Moving Objects,Fabricate medical devices.,Make patient-assistive devices or device models.
Handling and Moving Objects,Fabricate medical devices.,Fabricate medical devices.
Handling and Moving Objects,Fabricate medical devices.,Construct customized assistive medical or dental devices.
Handling and Moving Objects,Direct vehicle traffic.,Direct vehicle traffic.
Handling and Moving Objects,Disassemble equipment.,Remove parts or components from vehicles.
Handling and Moving Objects,Disassemble equipment.,Disassemble equipment for maintenance or repair.
Handling and Moving Objects,Disassemble equipment.,Disassemble equipment to inspect for deficiencies.
Handling and Moving Objects,Disassemble equipment.,"Remove accessories, tools, or other parts from equipment."
Handling and Moving Objects,Disassemble equipment.,Dismantle equipment or temporary structures.
Handling and Moving Objects,Disassemble equipment.,Remove parts or components from equipment.
Handling and Moving Objects,Disassemble equipment.,Dismantle heavy equipment or machinery.
Handling and Moving Objects,Install commercial or production equipment.,"Install electrical components, equipment, or systems."
Handling and Moving Objects,Install commercial or production equipment.,Install drilling equipment.
Handling and Moving Objects,Install commercial or production equipment.,Install audio or communications equipment.
Handling and Moving Objects,Install commercial or production equipment.,Install production equipment or systems.
Handling and Moving Objects,Install commercial or production equipment.,Install instrumentation or electronic equipment or systems.
Handling and Moving Objects,Install commercial or production equipment.,Install metering equipment.
Handling and Moving Objects,Install commercial or production equipment.,Install home appliances.
Handling and Moving Objects,Apply hygienic or cosmetic agents to skin or hair.,"Treat nails by shaping, decorating, or augmenting."
Handling and Moving Objects,Apply hygienic or cosmetic agents to skin or hair.,"Apply cleansing or conditioning agents to client hair, scalp, or skin."
Handling and Moving Objects,Apply hygienic or cosmetic agents to skin or hair.,Apply solutions to hair for therapeutic or cosmetic purposes.
Handling and Moving Objects,Apply hygienic or cosmetic agents to skin or hair.,Apply makeup to alter or enhance appearance.
Handling and Moving Objects,Position tools or equipment.,Adjust position of molds during processing.
Handling and Moving Objects,Position tools or equipment.,Position safety or support equipment.
Handling and Moving Objects,Position tools or equipment.,Position animal trapping or capture equipment.
Handling and Moving Objects,Position tools or equipment.,Position construction forms or molds.
Handling and Moving Objects,Position tools or equipment.,Position construction or extraction equipment.
Handling and Moving Objects,Position tools or equipment.,"Position equipment using hand tools, power tools, or heavy equipment."
Handling and Moving Objects,Position tools or equipment.,"Position patterns on equipment, materials, or workpieces."
Handling and Moving Objects,Position tools or equipment.,Level machines or equipment.
Handling and Moving Objects,Position tools or equipment.,Position containers to receive materials or workpieces.
Handling and Moving Objects,Position tools or equipment.,Position material handling equipment.
Handling and Moving Objects,Tend watercraft.,"Secure watercraft to docks, wharves or other vessels."
Handling and Moving Objects,Adjust medical equipment to ensure adequate performance.,Adjust prostheses or other assistive devices.
Handling and Moving Objects,Adjust medical equipment to ensure adequate performance.,Adjust dental devices or appliances to ensure fit.
Handling and Moving Objects,Engrave objects.,"Engrave designs, text, or other markings onto materials, workpieces, or products."
Handling and Moving Objects,Embalm corpses.,Embalm corpses.
Handling and Moving Objects,Fabricate devices or components.,Fabricate devices or components.
Handling and Moving Objects,Fabricate devices or components.,Fabricate parts or components.
Handling and Moving Objects,Fabricate devices or components.,Fabricate products or components using machine tools.
Handling and Moving Objects,Create decorative objects or parts of objects.,Attach decorative or functional accessories to products.
Handling and Moving Objects,Create decorative objects or parts of objects.,"Construct distinctive physical objects for artistic, functional, or commercial purposes."
Handling and Moving Objects,Process animal carcasses.,Slaughter animals.
Handling and Moving Objects,Process animal carcasses.,Remove skin or other body parts from animals.
Handling and Moving Objects,Process animal carcasses.,Process animal carcasses.
Handling and Moving Objects,Drill holes in earth or materials.,Drill holes in earth or rock.
Handling and Moving Objects,Drill holes in earth or materials.,Drill holes in construction materials.
Handling and Moving Objects,Drill holes in earth or materials.,"Drill holes in parts, equipment, or materials."
Handling and Moving Objects,Groom or style hair.,Groom wigs or hairpieces.
Handling and Moving Objects,Groom or style hair.,Trim client hair.
Handling and Moving Objects,"Set up classrooms, facilities, educational materials, or equipment.",Set up classroom materials or equipment.
Handling and Moving Objects,"Set up classrooms, facilities, educational materials, or equipment.",Arrange childcare or educational settings to ensure physical safety of children.
Handling and Moving Objects,"Set up classrooms, facilities, educational materials, or equipment.",Display student work.
Handling and Moving Objects,Apply protective solutions or coatings.,Treat facilities to eliminate pests.
Handling and Moving Objects,Apply protective solutions or coatings.,Paint surfaces or equipment.
Handling and Moving Objects,Apply protective solutions or coatings.,Apply paint to surfaces.
Handling and Moving Objects,Apply protective solutions or coatings.,Refinish wood or metal surfaces.
Handling and Moving Objects,Apply protective solutions or coatings.,Apply chemical solutions to plants to protect against disease or insects or to enhance growth.
Handling and Moving Objects,Apply protective solutions or coatings.,Apply protective or decorative finishes to workpieces or products.
Handling and Moving Objects,Apply protective solutions or coatings.,Treat greenery or surfaces with protective substances.
Handling and Moving Objects,Apply protective solutions or coatings.,Apply solutions to production equipment.
Handling and Moving Objects,Apply protective solutions or coatings.,Apply sealants or other protective coatings.
Handling and Moving Objects,Connect components or supply lines to equipment or tools.,Connect hoses to equipment or machinery.
Handling and Moving Objects,Connect components or supply lines to equipment or tools.,Rewire electrical or electronic systems.
Handling and Moving Objects,Connect components or supply lines to equipment or tools.,Connect hoses to equipment or piping.
Handling and Moving Objects,Connect components or supply lines to equipment or tools.,Lay cables to connect equipment.
Handling and Moving Objects,Connect components or supply lines to equipment or tools.,Thread wire or cable through ducts or conduits.
Handling and Moving Objects,Connect components or supply lines to equipment or tools.,Run wiring to connect equipment.
Handling and Moving Objects,Connect components or supply lines to equipment or tools.,Connect electrical components or equipment.
Handling and Moving Objects,Connect components or supply lines to equipment or tools.,Connect supply lines to production equipment or tools.
Handling and Moving Objects,Connect components or supply lines to equipment or tools.,Connect cables or electrical lines.
Handling and Moving Objects,"Join parts using soldering, welding, or brazing techniques.",Solder parts or workpieces.
Handling and Moving Objects,"Join parts using soldering, welding, or brazing techniques.",Weld metal components.
Handling and Moving Objects,"Join parts using soldering, welding, or brazing techniques.",Solder parts or connections between parts.
Handling and Moving Objects,"Join parts using soldering, welding, or brazing techniques.",Braze metal parts or components.
Handling and Moving Objects,"Join parts using soldering, welding, or brazing techniques.",Operate welding equipment.
Handling and Moving Objects,Assemble products or work aids.,"Build models, patterns, or templates."
Handling and Moving Objects,Assemble products or work aids.,Assemble garments or textile products.
Handling and Moving Objects,Assemble products or work aids.,Build production molds.
Handling and Moving Objects,Assemble products or work aids.,Assemble wood products.
Handling and Moving Objects,Assemble products or work aids.,Build construction forms or molds.
Handling and Moving Objects,Assemble products or work aids.,Assemble tires.
Handling and Moving Objects,Assemble products or work aids.,"Construct patterns, templates, or other work aids."
Handling and Moving Objects,Assemble products or work aids.,Assemble metal or plastic parts or products.
Handling and Moving Objects,Stock supplies or products.,Stock products or parts.
Handling and Moving Objects,Stock supplies or products.,Stock medical or patient care supplies.
Handling and Moving Objects,Stock supplies or products.,Store records or related materials.
Handling and Moving Objects,Stock supplies or products.,Store supplies or goods in kitchens or storage areas.
Handling and Moving Objects,Stock supplies or products.,Stock serving stations or dining areas with food or supplies.
Handling and Moving Objects,Stock supplies or products.,Stock supplies or merchandise.
Handling and Moving Objects,Stock supplies or products.,Store items.
Handling and Moving Objects,Collect environmental or biological samples.,Collect biological specimens from patients.
Handling and Moving Objects,Collect environmental or biological samples.,Collect biological specimens.
Handling and Moving Objects,Collect environmental or biological samples.,Collect geographical or geological field data.
Handling and Moving Objects,Collect environmental or biological samples.,Collect geological samples.
Handling and Moving Objects,Collect environmental or biological samples.,Collect environmental data or samples.
Handling and Moving Objects,Apply materials to fill gaps or imperfections.,Apply mortar.
Handling and Moving Objects,Apply materials to fill gaps or imperfections.,Seal gaps or cracks to prevent leakage or moisture intrusion.
Handling and Moving Objects,Apply materials to fill gaps or imperfections.,"Fill cracks, imperfections, or holes in products or workpieces."
Handling and Moving Objects,Apply materials to fill gaps or imperfections.,Apply material to fill gaps in surfaces.
Handling and Moving Objects,Remove workpieces from production equipment.,Apply parting agents or other solutions to molds.
Handling and Moving Objects,Remove workpieces from production equipment.,Remove workpieces from molds.
Handling and Moving Objects,Remove workpieces from production equipment.,Remove products or workpieces from production equipment.
Handling and Moving Objects,Position materials or components for assembly.,Align equipment or machinery.
Handling and Moving Objects,Position materials or components for assembly.,Lay out parts to prepare for assembly.
Handling and Moving Objects,Position materials or components for assembly.,Position structural components.
Handling and Moving Objects,Position materials or components for assembly.,Align parts or workpieces to ensure proper assembly.
Handling and Moving Objects,Position materials or components for assembly.,Mark reference points on construction materials.
Handling and Moving Objects,Position materials or components for assembly.,Lay out work according to specifications.
Handling and Moving Objects,Position materials or components for assembly.,Align masonry materials.
Handling and Moving Objects,Position materials or components for assembly.,Draw guide lines or markings on materials or workpieces using patterns or other references.
Handling and Moving Objects,Package objects.,Package agricultural products for shipment or further processing.
Handling and Moving Objects,Package objects.,Package products for storage or shipment.
Handling and Moving Objects,Package objects.,Package food or supplies.
Handling and Moving Objects,Package objects.,Package materials for transport.
Handling and Moving Objects,Package objects.,Package materials or products.
Handling and Moving Objects,Package objects.,Package objects for shipping.
Handling and Moving Objects,Install plumbing or piping equipment or systems.,Install green plumbing or water handling systems.
Handling and Moving Objects,Install plumbing or piping equipment or systems.,Install piping for installation or maintenance activities.
Handling and Moving Objects,Install plumbing or piping equipment or systems.,Install plumbing or piping.
Handling and Moving Objects,Hunt animals.,Locate animals for fishing or hunting purposes.
Handling and Moving Objects,Hunt animals.,Capture or kill animals.
Handling and Moving Objects,Apply decorative finishes.,Apply decorative masonry finishes.
Handling and Moving Objects,Apply decorative finishes.,"Apply finishes to artwork, crafts, or displays."
Handling and Moving Objects,Apply decorative finishes.,Apply decorative or textured finishes or coverings.
Handling and Moving Objects,Apply decorative finishes.,Apply decorative coloring to photographs or printed materials.
Handling and Moving Objects,Set up equipment.,Install equipment attachments or components.
Handling and Moving Objects,Set up equipment.,"Set up material handling gear or equipment, such as rigging, packaging, or temporary structures."
Handling and Moving Objects,Set up equipment.,Attach rigging to objects so they can be moved.
Handling and Moving Objects,Set up equipment.,Prepare film for distribution or use.
Handling and Moving Objects,Set up equipment.,"Set equipment guides, stops, spacers, or other fixtures."
Handling and Moving Objects,Set up equipment.,Set up still or video cameras or related equipment.
Handling and Moving Objects,Set up equipment.,Prepare hoses or water supplies to fight fires.
Handling and Moving Objects,Set up equipment.,Install mechanical components in production equipment.
Handling and Moving Objects,Set up equipment.,Attach equipment extensions or accessories.
Handling and Moving Objects,Set up equipment.,Set up laboratory or field equipment.
Handling and Moving Objects,Prepare specimens or materials for testing.,"Cultivate micro-organisms for study, testing, or medical preparations."
Handling and Moving Objects,Prepare specimens or materials for testing.,Prepare biological specimens for laboratory analysis.
Handling and Moving Objects,Prepare specimens or materials for testing.,Prepare biological samples for testing or analysis.
Handling and Moving Objects,Prepare specimens or materials for testing.,Prepare compounds or solutions for products or testing.
Controlling Machines and Processes,Operate office equipment.,Operate office equipment.
Controlling Machines and Processes,Operate pumping systems or equipment.,Operate pumping systems or equipment.
Controlling Machines and Processes,Operate pumping systems or equipment.,Operate pumps or compressors.
Controlling Machines and Processes,Operate pumping systems or equipment.,Control pumps or pumping equipment.
Controlling Machines and Processes,Operate construction or excavation equipment.,Operate drilling equipment.
Controlling Machines and Processes,Operate construction or excavation equipment.,Operate heavy-duty construction or installation equipment.
Controlling Machines and Processes,Operate construction or excavation equipment.,Operate mining equipment.
Controlling Machines and Processes,Operate construction or excavation equipment.,Operate excavation equipment.
Controlling Machines and Processes,Operate construction or excavation equipment.,"Break up rock, asphalt, or concrete."
Controlling Machines and Processes,Operate construction or excavation equipment.,Operate road-surfacing equipment.
Controlling Machines and Processes,Operate construction or excavation equipment.,Operate equipment or vehicles to clear construction sites or move materials.
Controlling Machines and Processes,Operate construction or excavation equipment.,Operate detonation equipment.
Controlling Machines and Processes,Operate medical equipment.,Process x-rays or other medical images.
Controlling Machines and Processes,Operate medical equipment.,Create advanced digital images of patients using computer imaging systems.
Controlling Machines and Processes,Operate medical equipment.,Operate diagnostic or therapeutic medical instruments or equipment.
Controlling Machines and Processes,Operate medical equipment.,Operate diagnostic imaging equipment.
Controlling Machines and Processes,Operate medical equipment.,Operate medical equipment.
Controlling Machines and Processes,Operate audiovisual or related equipment.,"Operate control consoles for sound, lighting or video."
Controlling Machines and Processes,Operate audiovisual or related equipment.,Operate surveillance equipment to detect suspicious or illegal activities.
Controlling Machines and Processes,Operate audiovisual or related equipment.,Operate audiovisual equipment.
Controlling Machines and Processes,Operate audiovisual or related equipment.,Operate still or video cameras or related equipment.
Controlling Machines and Processes,Operate audiovisual or related equipment.,Operate audio-visual equipment.
Controlling Machines and Processes,Operate audiovisual or related equipment.,Operate audio recording equipment.
Controlling Machines and Processes,Operate industrial processing or production equipment.,Operate chemical processing or water treatment systems or equipment.
Controlling Machines and Processes,Operate industrial processing or production equipment.,Operate painting or coating equipment.
Controlling Machines and Processes,Operate industrial processing or production equipment.,Operate recycling equipment.
Controlling Machines and Processes,Operate industrial processing or production equipment.,Operate packing or other material processing equipment.
Controlling Machines and Processes,Operate industrial processing or production equipment.,"Smooth garments with irons, presses, or steamers."
Controlling Machines and Processes,Operate industrial processing or production equipment.,"Operate cooking, baking, or other food preparation equipment."
Controlling Machines and Processes,Operate industrial processing or production equipment.,Operate heating or drying equipment.
Controlling Machines and Processes,Operate industrial processing or production equipment.,Operate mixing equipment.
Controlling Machines and Processes,Operate industrial processing or production equipment.,Operate conveyors or other industrial material moving equipment.
Controlling Machines and Processes,Operate industrial processing or production equipment.,Operate photographic developing or print production equipment.
Controlling Machines and Processes,Operate industrial processing or production equipment.,Operate equipment to print images or bind printed images together.
Controlling Machines and Processes,Operate industrial processing or production equipment.,Operate metal or plastic forming equipment.
Controlling Machines and Processes,Operate industrial processing or production equipment.,Operate industrial equipment.
Controlling Machines and Processes,Operate energy production or distribution equipment.,Operate energy production equipment.
Controlling Machines and Processes,Operate energy production or distribution equipment.,Operate natural gas generation equipment.
Controlling Machines and Processes,Operate energy production or distribution equipment.,Operate biomass or biofuel production equipment.
Controlling Machines and Processes,Operate energy production or distribution equipment.,Operate green energy production equipment.
Controlling Machines and Processes,Operate energy production or distribution equipment.,Operate energy distribution equipment.
Controlling Machines and Processes,Operate energy production or distribution equipment.,Operate natural gas distribution equipment.
Controlling Machines and Processes,Operate lifting or moving equipment.,Operate forklifts or other loaders.
Controlling Machines and Processes,Operate lifting or moving equipment.,Lift materials or workpieces using cranes or other lifting equipment.
Controlling Machines and Processes,Operate lifting or moving equipment.,"Operate cranes, hoists, or other moving or lifting equipment."
Controlling Machines and Processes,Operate laboratory or field equipment.,Operate laboratory or field equipment.
Controlling Machines and Processes,Operate laboratory or field equipment.,Operate precision equipment to control microscopic or nanoscopic processes.
